L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,About
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Designer Plastic Planter Pot - Assorted Color, 13 Litre","Aristo Designer Plastic Planter Pot - Assorted Color Attractive designed strong and durable colourful Planter Pots, suitable for indoor and outdoor. Strong, high quality and Everlasting Colors.",13 Litre,L,13 Litre,1,1,274,199,"8904114511181 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400077",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189185_4-aristo-designer-plastic-planter-pot-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189185-2_1-aristo-designer-plastic-planter-pot-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189185-3_1-aristo-designer-plastic-planter-pot-assorted-color.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114511181 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400077']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 13 Litre Dimension - 35 cm DIA X 27.5 cm HEIGHT Brand : Aristo,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Designer Plastic Planter Pot - Assorted Color, 13 Litre","Aristo Designer Plastic Planter Pot - Assorted Color Attractive designed strong and durable colourful Planter Pots, suitable for indoor and outdoor. Strong, high quality and Everlasting Colors.",13 Litre,L,13 Litre,1,1,274,199,"8904114511181 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400077",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189185_4-aristo-designer-plastic-planter-pot-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189185-2_1-aristo-designer-plastic-planter-pot-assorted-color.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189185-3_1-aristo-designer-plastic-planter-pot-assorted-color.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114511181 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400077']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 13 Litre Dimension - 35 cm DIA X 27.5 cm HEIGHT Brand : Aristo,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour, 13.5 L","Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour Attractive Hexa designed strong and durable planter pots, suitable for indoor and outdoor. Strong, high quality and ever-lasting colours.",13.5 L,L,13.5 L,1,1,251,189,"8904114504886 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400089",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189140_2-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189140-2_1-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114504886 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400089']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 13.5 Litre Dimension - 36 cm Dia X 24.5 cm height,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour, 2 L","Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour - Attractive Hexa plastic planter pot is designed strong and durable that is suitable for indoor and outdoor. It is strong, high quality and everlasting colours.",2 L,L,2 L,1,1,49,49,"8904114502745 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400086",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189137_2-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189137-2_1-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114502745 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400086']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 500 ml Dimension - 20.5 cm dia X 13 cm height,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour, 4.5 L","Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour - Attractive Hexa plastic planter pot is designed strong and durable that is suitable for indoor and outdoor. It is strong, high quality and everlasting colours.",4.5 L,L,4.5 L,1,1,92,79,"8904114502752 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400087",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189138_2-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189138-2_1-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114502752 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400087']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 4.5 Litre Dimension - 25.65 cm dia X 16.5 cm height,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour, 500 ml","Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour - Attractive Hexa plastic planter pot is designed strong and durable that is suitable for indoor and outdoor. It is strong, high quality and everlasting colours.",500 ml,ml,500 ml,1,1,16,16,"40189136 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400084",India,40189136,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189136_2-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189136-2_1-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 40189136 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400084']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 500 ml Dimension - 13.5 cm DIA X 8.5 cm HEIGHT,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour, 8 L","Aristo Hexa Designer Plastic Planter Pot - Terracotta Colour - Attractive Hexa plastic planter pot is designed strong and durable that is suitable for indoor and outdoor. It is strong, high quality and everlasting colours.",8 L,L,8 L,1,1,155,129,"8904114502769 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400088",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189139_2-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189139-2_1-aristo-hexa-designer-plastic-planter-pot-terracotta-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting.,"['EAN Code: 8904114502769 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400088']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter Colour - Assorted Package Content - 1 Pc Capacity - 8 Litre Dimension -30.5 cm DIA X 20.5 cm HEIGHT,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Pine Plastic Planter Pot With Tray - Assorted Colour, 5 L","Aristo Pine Plastic Planter Pot With Tray - Assorted Colour Attractive designed strong and durable colourful planter pots, suitable for indoor and outdoor. Strong, high quality and everlasting colours.",5 L,L,5 L,1,1,257,199,"8904114512317 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400083",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189190_5-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-2_2-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-3_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-4_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-5_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting,"['EAN Code: 8904114512317 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400083']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter ¬ Colour - Assorted Package Content - 1 Pc Capacity - 5 Litre Dimension - 25.6 cm DIA X 22.5 cm HEIGHT Brand : Aristo,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Aristo,"Aristo Pine Plastic Planter Pot With Tray - Assorted Colour, 5 L","Aristo Pine Plastic Planter Pot With Tray - Assorted Colour Attractive designed strong and durable colourful planter pots, suitable for indoor and outdoor. Strong, high quality and everlasting colours.",5 L,L,5 L,1,1,257,199,"8904114512317 Country of origin: India Manufacturer Name & Address: Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400083",India,8.90E+12,-,https://datalabs.siva3.io/image/Eunimart_groceries_40189190_5-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-2_2-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-3_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-4_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40189190-5_1-aristo-pine-plastic-planter-pot-with-tray-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,can be used for indoor and outdoor potting,"['EAN Code: 8904114512317 Country of origin: India Manufacturer Name & : Aristoplast Products Pvt.Ltd., 6/129, Mittal Indl Est, Andheri - Kurla Road, Andheri (East). Mumbai - 400083']",-,-,-,-,-,-,-,Body Material - Plastic Type - Planter ¬ Colour - Assorted Package Content - 1 Pc Capacity - 5 Litre Dimension - 25.6 cm DIA X 22.5 cm HEIGHT Brand : Aristo,-
to-,to-be-,to-be-sug,to-be-sugges,to-be-suggested,Asian,"Asian Morning Star Trays - Assorted, 1 pc","The Asian Plastoware Morning Star Tray is the perfect and spacious tray to serve breakfast daily. It's made of 100 percent virgin plastic, is food-safe, and can be thrown into the dishwasher for a quick wash. The Asian Plastoware Morning Star Trays are available in a selection of lovely and colourful colours to brighten up your kitchen or dining room. Serve your guests a beverage of their choice with appetisers on various occasions, and they will be stunned by the attractive printed patterns on the Asian Plastoware Joyfull Tray. The trays also make for the perfect way to surprise your loved ones with a delicious breakfast in bed! Explore the wide range of Asian Cromwell products from lunch boxes to trays and more only on Big Basket.",1 pc,pcs,1 pc,1,1,255,139,"Asian Plastoware Pvt LtdPlot d -7/1, road no. 16,MIDC, Andheri(E),Mumbai - 400093",India,['8902330966730'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40248925_1-asian-plastowares-morning-star-trays-assorted-colour.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40248925-2_1-asian-plastowares-morning-star-trays-assorted-colour.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Food grade plastic stackable dishwasher safe comes in multi-design
Made up of 100 percent virgin plastic.
It comes in an attractive printed color that elevates the look of the kitchen/ dining area.",The Trays are constructed entirely of virgin plastic and are ideal for serving breakfast or brightening up your kitchen with their vibrant printed colour. Wash with hands using mild soap.,"['EAN Code: 8902330966730', 'Manufacturer Name & Marketed by : Asian Plastoware Pvt LtdPlot d -7/1, road no. 16,MIDC, Andheri(E),Mumbai - 400093', 'For Complaints, Mail us at Ecom@asianplastowares.com or Call us at +91-22-66960033 / 66952426', 'Country of Origin:India', '","Asian Plastoware Pvt LtdPlot d -7/1, road no. 16,MIDC, Andheri(E),Mumbai - 400093",-,-,-,-,-,-,"Type- Trays
Material- Plastic
Design- Modern
Capacity Color- Assorted
Microwave safe- NO
Dishwasher safe-YES
Freezer safe-YES
Dimensions (in cm)- 42X27X6
Package Content-1",-
