L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Specification,From The Brand
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,AGARO,"AGARO Smart LED Bulb - Cool Daylight White, Round, 12 Watts, B22 Base, 1 pc","High-Quality Bright Light: Glows with 80 CRI for better colour retention, giving the true colour effect more accurate.
Economical: Consumes less energy thus saving 85% electricity bill compared to incandescent bulbs. 
Long Lasting: Lasts 10X longer than incandescent bulbs.
No Visible Flickering: The right light enables you to experience flicker-free lighting and does away with physical discomfort to the eyes. Select LED bulbs with a lower Flicker Index and SVM less than 1.3.
Glare Reduction Surface: Brightness of lamps can cause excessive sensitivity to the eyes. But the right light provides more comfort to the eyes, physical ease and relaxation when looking directly at them. 
Eye Safety Compliance: The right light is tested and certified to ensure the light is as safe to the eyes as any other artificial light source. LED products provide the right light for all your needs. 
Colour Temperature: Gives output colour temperature of 6500K for comfortable vision. 
Instant Start: Illuminates within a second at the flip of a switch.",1 pc,pc,1 pc,1,1,260,179,"Universal Corporation Ltd. C-4 Industrial Area, Bahadrabad, Haridwar, Uttarakhand, India & Universal Corporation Ltd., Sikkim Commerce House, 4/1 Middleton Street, Kolkata 700071",India,['40159817'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40159817_2-agaro-led-bulb-12-watt-cool-daylight-b22-base.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159817-2_1-agaro-led-bulb-12-watt-cool-daylight-b22-base.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159817-3_1-agaro-led-bulb-12-watt-cool-daylight-b22-base.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159817-4_1-agaro-led-bulb-12-watt-cool-daylight-b22-base.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40159817-5_1-agaro-led-bulb-12-watt-cool-daylight-b22-base.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40159817'}, {'Manufacturer Name and ': 'Universal Corporation Ltd. C-4 Industrial Area, Bahadrabad, Haridwar, Uttarakhand, India & Universal Corporation Ltd., Sikkim Commerce House, 4/1 Middleton Street, Kolkata 700071'}, {'Country of origin': 'India'}]",-,-,-,-,"Do not use wet cloth while removing, fixing or handling it."," Brand: Agaro
 Cap Type: B22
 Type: LED Bulb
 Watt: 12W
 Material: Polycarbonate
 Colour: White
 Shape: Round
 Feature: Up to 50 per cent energy savings over CFL
 Batteries Included: No
 Batteries Required: No
 Weight: 350 grams
 Dimensions: 60x60x100 mm
 Package Content: 1 LED Bulb",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic 3 Pin Dyna Flexi Cord - Plastic, 15289, 4 mtr, 240 V, 1 pc","Anchor by Panasonic brings to you 3 pin Dyna Flexi cord that has a 4 meter long cable for extended access. It has 360 degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This has a flexi cord box is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect the electrical devices over long distances. It is ideal to use for home application, office computer, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,443,379,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['40216219'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40216219_1-anchor-by-panasonic-dyna-flexicord-15289-3-pin-4-meter-6a-240v.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 4-meter long cord makes it convenient to use across the room.
It has a 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home application, office computer, TV, DVD player, etc.","[{'EAN Code': '40216219'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: Plastic.
Features: Durable and easy to carry anywhere, Provided with 4-meter high-quality wire, On or Off switch to save energy.
Type: Flexi cord.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic 3 Socket Extension Board - Plastic, 5208, 4 mtr, 6 Amps, 1 pc","Anchor by Panasonic brings to you the 5208 3 Sockets Extension Board that has a 4-meter long cable for extended access. It has 360-degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This has a Flexi cord box that is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect electrical devices over long distances. It is ideal to use for home applications, office computers, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,331,299,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['40217692'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40217692_4-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40217692-2_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40217692-3_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40217692-4_1-anchor-by-panasonic-5208-3-socket-extension-boards-with-4-meter-long-cable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 400 cm long cord makes it convenient to use across the room.
It has a 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usage like laptops, phone charging, or ironing.
It is ideal to use for home applications, office computers, TV, DVD player, etc.","[{'EAN Code': '40217692'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: Plastic.
Features: Ideal For Home Appliances, the Switch comes with an indicator light to inform whether it has actually been turned on or not.
Type: Extension Boards.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Dyna Flexi Cord - Plastic, 16 A, Socket 4 mtr, 1 pc","Anchor by Panasonic brings to you 16A Dyna Flexicord Socket 4 Mtr that has a 4-metre-long cable for extended access. It has 360-degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This Flexi cord box is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect electrical devices over long distances. It is ideal to use for home applications, office computers, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,830,729,"Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",India,['40291109'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40291109_1-anchor-by-panasonic-16a-dyna-flexi-cord-socket-4-metre-white.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight and easy to carry and use.
Its 4-metre-long cord makes it convenient to use across the room.
It has 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home applications, office computers, TV, DVD player, etc.","[{'EAN Code': '40291109'}, {'Manufacturer Name & Marketed by ': 'Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",-,-,-,-,"Brand:- Panasonic
Type:- Flexicord Socket
Material:- Plastic
Colour:- White
Dimensions in mm (LXWXH):- 190X77X0.78
Weight:- 105 g
Package Content:- 1 Pc",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Extension Board - Plastic, Spike Guard 22579, 1.5 mtr, 1 pc","Anchor by Panasonic brings to you 22579 6 Sockets Spike Guard that has a 1.5-meter long cable for extended access. It has a universal socket for various country plugs. It has an individual switch for each socket with a LED indicator. It is easy to use, efficient, long-lasting and has a 6 Amps capacity. This is made with high-quality material therefore it is safe to be touched by hand without the risk of electric shock. The extension board is designed to connect the electrical devices over long distances. It is ideal to use for home application, office computer, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,789,729,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['8903285225798'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40216216_1-anchor-by-panasonic-spike-guard-extension-boards-22579-6-sockets.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216216-2_1-anchor-by-panasonic-spike-guard-extension-boards-22579-6-sockets.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 1.5-meter long cord makes it convenient to use across the room.
It has an individual switch for each socket with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home application, office computer, TV, DVD player, etc.","[{'EAN Code': '8903285225798'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: Plastic.
Features: Suitable for use in household, offices, shops, restaurants, hospitals and more, High-end electrical accessory by Anchor.
Type: Extension Boards.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Extension Board - Plastic, Spike Protector, 1.5 mtr, 1 pc","Anchor by Panasonic brings to you Spike Guard that has a 1.5 meter long cable for extended access. It has a universal socket for various country plugs. It has individual switch for each socket with a LED indicator. It is easy to use, efficient and long-lasting. This is made with high quality material therefore it is safe to be touched by hand without the risk of electric shock. The extension board is designed to connect the electrical devices over long distances. It is ideal to use for home application, office computer, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,658,579,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['8903285225682'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40216215_1-anchor-by-panasonic-spike-protector-surge-guard-4-socket-4-switch.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 1.5-meter long cord makes it convenient to use across the room.
It has an individual switch for each socket with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home application, office computer, TV, DVD player, etc.","[{'EAN Code': '8903285225682'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: Plastic.
Features: Individual switch and socket, Switch Spike Protector Surge Guard.
Type: Spike guard.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Extension Board - PolyCarbonate, Spike Guard, 1.5 mtr, 1 pc","Anchor by Panasonic brings to you Spike Guard that has a 1.5-meter long cable for extended access. It has a universal socket for various country plugs. It has an individual switch for each socket with a LED indicator. It is easy to use, efficient and long-lasting. This is made with high-quality material therefore it is safe to be touched by hand without the risk of electric shock. The extension board is designed to connect the electrical devices over long distances. It is ideal to use for home application, office computer, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,553,399,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['40216214'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40216214_4-anchor-by-panasonic-spike-guardextension-board-4-way-socket-with-single-switch-15-meter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216214-2_2-anchor-by-panasonic-spike-guardextension-board-4-way-socket-with-single-switch-15-meter.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40216214-3_1-anchor-by-panasonic-spike-guardextension-board-4-way-socket-with-single-switch-15-meter.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 1.5-meter long cord makes it convenient to use across the room.
It has an individual switch for each socket with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home application, office computer, TV, DVD player, etc.","[{'EAN Code': '40216214'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: PolyCarbonate.
Features: Power strips, Spike guard, Surge protector, Available in both single & multi-switch with indicator.
Type: Spike Guard.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Flexi CORD - Plastic, 5219, 8 mtr, 1 pc","Anchor by Panasonic brings to you a 5219 Flexi cord that has an 8-meter long cable for extended access. It has 360-degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This has a Flexi cord box that is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect the electrical devices over long distances. It is ideal to use for home applications, office computers, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,421,399,"Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",India,['40217693'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40217693_1-anchor-by-panasonic-5219-flexicord-8-m-long-extension-cable.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight, easy to carry and use.
Its 8-meter long cord makes it convenient to use across the room.
It has a 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usages like laptops, phone charging, or ironing.
It is ideal to use for home applications, office computers, TV, DVD player, etc.","[{'EAN Code': '40217693'}, {'Manufactured & Marketed BY': 'Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Ltd, 3rd Floor, B Wing I-Think Techno Campus, Pokharan Road No. 2, Thane (W), Thane - 400 607, Maharashtra, India",-,-,-,-,"Material: Plastic.
Features: It can be used at offices, household, and commercial places. Switch with indicator and Swift cord pull action.
Type: Flexi cord.
Colour: White.
Brand: Anchor by Panasonic.",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Flexi Cord - 6A, Plastic, 4 Mtr, Euro Socket For Home Appliances, Box, LED Indicator, 1 pc","Anchor by Panasonic brings to you a 6A Flexi cord, 1 Combi socket and 2 Euro Socket that has a 4-metre-long cable for extended access. It has 360-degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This Flexi cord box is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect electrical devices over long distances. It is ideal to use for home applications, office computers, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,503,449,"Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",India,['40291106'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40291106_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-2-combi-1-euro-socket-blue-white.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291106-2_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-2-combi-1-euro-socket-blue-white.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291106-3_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-2-combi-1-euro-socket-blue-white.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight and easy to carry and use.
Its 4-metre-long cord makes it convenient to use across the room.
It has 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home applications, office computers, TV, DVD player, etc.","[{'EAN Code': '40291106'}, {'Manufacturer Name & Marketed by ': 'Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",-,-,-,-,"Brand:- Anchor by Panasonic
Type:- Flexi Cord
Material:- Plastic
Colour:- Blue & White
Dimensions in mm (LXWXH):- 175X150X45
Weight:- 440 g
Package Content: - 1 Pc",-
RET,to-be-suggested,to-be-suggested,to-be-suggested,to-be-suggested,Anchor by Panasonic,"Anchor by Panasonic Flexi Cord - Plastic, 4 Mtr, 6A, Euro Sockets, Box, LED Indicator, 1 pc","Anchor by Panasonic brings to you a 6A Flexi cord, 1 Combi socket and 2 Euro sockets that have a 4-metre-long cable for extended access. It has 360-degree rotation with a master switch with a LED indicator. It is easy to use and has a 6 Amps capacity. This has a Flexi cord box and is, therefore, safe to be touched by hand without the risk of electric shock. The extension board is designed to connect electrical devices over long distances. It is ideal to use for home applications, office computers, TV, DVD player, etc.",1 pc,pc,1 pc,1,1,466,409,"Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",India,['40291105'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40291105_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-1-combi-2-euro-sockets-blue-white.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291105-2_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-1-combi-2-euro-sockets-blue-white.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291105-3_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-1-combi-2-euro-sockets-blue-white.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40291105-4_1-anchor-by-panasonic-6a-flexi-cord-2-pin-4-metre-1-combi-2-euro-sockets-blue-white.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is light in weight and easy to carry and use.
Its 4-metre-long cord makes it convenient to use across the room.
It has 360-degree rotation with a master switch with a LED indicator.","It is perfect for daily usage like a laptop, phone charging or ironing.
It is ideal to use for home applications, office computers, TV, DVD player, etc.","[{'EAN Code': '40291105'}, {'Manufacturer Name & Marketed by ': 'Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136'}, {'Country of Origin': 'India'}]","Panasonic Life Solutions India Pvt.Ltd Kishore Polymold,Gut No.45,Village-Shivrai, Taluka-Gangapur,, Dist.Aurangabad, Maharashtra, Aurangabad, Aurangabad, Mh, 431136",-,-,-,-,"Brand:- Anchor by Panasonic
Type:- Flexi Cord
Material:- Plastic
Colour:- Blue & White
Dimensions in mm (LXWXH): - 154X40X17.7
Weight:- 436 g
Shape:- Round
Package Content: - 1 Pc",-
