L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Specification,About
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium 4 Cavities Non-Stick Uthappam Tawa - 3 Layer Coating, Bakelite Handle, 1 pc",This product has been beautifully designed to add grace to your kitchen experience. It is low-calorie cookware for good health and has an internally reinforced 2 coat technology. The superior quality non-stick coating and bakelite handles for easy use. The grooved bottom for even distribution of heat. It has 4 cavities for bigsize uttapam. The PTFE coating ensures that it is 100% non-toxic.,1 pc,pcs,1 pc,1,1,815,599,Anjali kitchenware pvt Ltd,India,['8904126508513'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40179496_3-anjali-non-stick-4-cavities-uttapam-tawa-black.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8904126508513'}, {'Country of origin': 'India'}]",-,-,-,-,"Use a soft sponge for cleaning.
Avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Non-Stick Uttapam Tawa
 Material - Aluminium
 Coating - 3 layer Non-Stick
 Lid included - No
 Microwave Safe - No,
 Induction Bottom - No
 Colour - Hamilton
 Length “ 42cm
 Width “ 26.5cm
 Height “ 1.5cm
 Dishwasher Safe - Yes
 Package Contents: 1 Pc Anjali Non-stick 4 Cavities Uttapam Tawa (Big)
 Warranty - 1 year",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Fry Pan - Non Toxic Coating, 24 cm, With Lid, Bakelite Handle, Diamond Series, 2 l","This colourful utensil with its luxurious design will enhance your kitchen space and help save energy by heat transfer superiority. It is easy to clean as the food does not stick to the product and it has a PTFE coating, 100% nontoxic coating and is also scratch & corrosion-resistant. The bottom of the utensil has a dual coat and is specially designed for better fuel efficiency and has bakelite handles for fire resistance.",2 l,l,2 l,1,1,1095,779,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['40114257'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114257_2-anjali-fry-pan-with-lid-non-stick-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40114257'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}]",-,-,-,-,"Use soft sponge for cleaning, avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Non-Stick Fry Pan
 Material - Aluminium
 Coating - 3 layer Non-Stick
 Lid included - Yes
 Microwave Safe - No
 Induction Bottom - No
 Colour - Black
 Capacity - 2 Litre
 Design - Transparency
 Diameter - 240mm
 Length - 112.5mm
 Width - 247.65mm
 Height - 114.3mm
 Dishwasher Safe - Yes
 Package Contents: 1 Piece - Anjali Non-stick Fry Pan With Lid Diamond Series 240mm
 Warranty - 1 year Poly Tetra Fluoro Ethylene (PTFE) Coating
 100% Non-Toxic Coating
 Scratch & Corrosion resistant
 Dual Coat bottom with Scientific design for better fuel efficiency
 High Quality with PTFE Non-Stick Coating
 Bakelite handles for fire resistance.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Kadai - 2 Layer, Non Stick Coated, 28 cm, 2.6 mm, With Lid, Bakelite Handle, 2 l","Now experience taste, high performance and health all in one place with Anjali Kadai that makes cooking safer and your health better. Its new & improved coating ensures durability and poses no harm to food. It also has PTFE coating and other 100% non-toxic coating which is scratch & corrosion-resistant. Internally reinforced 2-coat technology. Superior Quality Non-Stick Coating and Bakelite Handle for easy use grooved bottom for even distribution of heat.
Benefits: 
They are easier to clean, you can cook with less oil.
Better food release as the non-stick coating prevents the food from sticking.
To prolong the life of a non-stick pan keep seasoning it at regular intervals and replace it every three to four years.",2 l,l,2 l,1,1,1095,779,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['40114258'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114258_2-anjali-non-stick-kadai-with-steel-lid-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Non-stick cookware is a common application, where the non-stick coating allows food to brown without sticking to the pan.
In Kadai, we can prepare various dishes from veg to non-veg.","[{'EAN Code': '40114258'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}, {'Country of origin': 'India'}]",-,-,-,-,"Hand wash your nonstick pan with hot soapy water before using it for the first time, to remove any residues, oils, and dirt from manufacturing and shipping.
Rinse well and dry completely. It is ready to use after its initial washing.","Material: Aluminum
Capacity: 2 L
Features: Easy to clean, Easy to wash with a plastic scrubber
Type: Non-Stick Kadai
Colour: Black
Brand - Anjali
Coating - 3 layer Non-Stick
Lid included - Yes
Microwave Safe - No
 Induction Bottom - No
Design - Transparency 
Thickness - 2.6 mm
Diameter - 280mm
Length - 323.85mm
Width - 247.65mm
Height - 114.3mm
Dishwasher Safe - Yes 
Package Contents: 1 Piece - Anjali Non-stick Kadai With Lid Diamond Series 2 Litre
Warranty - 1 year
Other features: Poly Tetra Fluoro Ethylene (PTFE) Coating. 100% Non-Toxic Coating. Scratch & Corrosion resistant. Dual Coat bottom with Scientific design for better fuel efficiency. High Quality with PTFE Non-Stick Coating. Bakelite handles for fire resistance",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Kadai - 2 Layer, Non Stick Coated, 28 cm, 2.6 mm, With Lid, Bakelite Handle, 2 l","Now experience taste, high performance and health all in one place with Anjali Kadai that makes cooking safer and your health better. Its new & improved coating ensures durability and poses no harm to food. It also has PTFE coating and other 100% non-toxic coating which is scratch & corrosion-resistant. Internally reinforced 2-coat technology. Superior Quality Non-Stick Coating and Bakelite Handle for easy use grooved bottom for even distribution of heat.
Benefits: 
They are easier to clean, you can cook with less oil.
Better food release as the non-stick coating prevents the food from sticking.
To prolong the life of a non-stick pan keep seasoning it at regular intervals and replace it every three to four years.",2 l,l,2 l,1,1,1095,779,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['40114258'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114258_2-anjali-non-stick-kadai-with-steel-lid-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Non-stick cookware is a common application, where the non-stick coating allows food to brown without sticking to the pan.
In Kadai, we can prepare various dishes from veg to non-veg.","[{'EAN Code': '40114258'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}, {'Country of origin': 'India'}]",-,-,-,-,"Hand wash your nonstick pan with hot soapy water before using it for the first time, to remove any residues, oils, and dirt from manufacturing and shipping.
Rinse well and dry completely. It is ready to use after its initial washing.","Material: Aluminum
Capacity: 2 L
Features: Easy to clean, Easy to wash with a plastic scrubber
Type: Non-Stick Kadai
Colour: Black
Brand - Anjali
Coating - 3 layer Non-Stick
Lid included - Yes
Microwave Safe - No
 Induction Bottom - No
Design - Transparency 
Thickness - 2.6 mm
Diameter - 280mm
Length - 323.85mm
Width - 247.65mm
Height - 114.3mm
Dishwasher Safe - Yes 
Package Contents: 1 Piece - Anjali Non-stick Kadai With Lid Diamond Series 2 Litre
Warranty - 1 year
Other features: Poly Tetra Fluoro Ethylene (PTFE) Coating. 100% Non-Toxic Coating. Scratch & Corrosion resistant. Dual Coat bottom with Scientific design for better fuel efficiency. High Quality with PTFE Non-Stick Coating. Bakelite handles for fire resistance",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Non-Stick Tawa - 3 Layer Coating, 26 cm, 2.6 mm, Bakelite Handle, Diamond, 1 pc",This Tawa is non-stick with PTFE Coating which is 100% non-toxic and helps prepare tasty and soft rotis.,1 pc,pcs,1 pc,1,1,760,529,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['40114253'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114253_1-anjali-roti-tawa-non-stick-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40114253'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}]",-,-,-,-,"Use Soft Sponge for Cleaning, avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Non-Stick Tawa
 Material - Aluminium
 Coating - 3 layer Non-Stick
 Lid included - No
 Microwave Safe - No
 Induction Bottom - No
 Colour - Black
 Design - Transparency
 Diameter - 260mm
 Length - 304.8mm
 Width - 254mm
 Height - 12.7mm
 Dishwasher Safe - Yes
 Package Contents: 1 Piece - Anjali Non-stick Roti Tawa Diamond Series 260mm
 Warranty - 1 year
 Thickness - 2.6 mm Poly Tetra Fluoro Ethylene (PTFE) Coating
 100% Non-Toxic Coating
 Scratch & Corrosion resistant
 Dual Coat bottom with Scientific design for better fuel efficiency
 High Quality with PTFE Non-Stick Coating
 Bakelite handles for fire resistance.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Non-Stick Tawa - 3 Layer Coating, Dishwasher Safe, 29 cm, 2.6 mm, Bakelite Handle, Diamond, 1 pc",This high-quality Tawa adds ease and comfort to kitchen chores. It is made from high-grade aluminium and is of good quality and assures durability. It has a PTFE Coating that is 100% nontoxic and it is also scratch & corrosion resistant.,1 pc,pcs,1 pc,1,1,935,679,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,['8904124502331'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40114256_2-anjali-dosa-tawa-non-stick-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8904124502331'}, {'Country of origin': 'India'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}]",-,-,-,-,"Use Soft Sponge for Cleaning, avoid using sharp and abrasive cleaners."," Brand - Anjali
 Type - Non-Stick Tawa
 Material - Aluminium
 Coating - 3 layer Non-Stick
 Lid included - No
 Microwave Safe - No
 Induction Bottom - No
 Colour - Black
 Design - Transparency
 Diameter - 290mm
 Length - 330.2mm
 Width - 279.4mm
 Height - 12.7mm
 Dishwasher Safe - Yes
 Package Contents: 1 Piece - Anjali Non-stick Dosa Tawa Diamond Series 290mm
 Warranty - 1 year Thickness - 2.6 mm Poly Tetra Fluoro Ethylene (PTFE) Coating
 100% Non-Toxic Coating
 Scratch & Corrosion resistant
 Dual Coat bottom with Scientific design for better fuel efficiency
 High Quality with PTFE Non-Stick Coating
 Bakelite handles for fire resistance.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Tadka Pan - 24.1 cm, with Handle, 1 pc 42",Anjali Tadka Vati is a high-quality aluminium cookware. It is made with two layers of stainless steel and an aluminium core. It has a classy finish and gives an elegant look to kitchen decor. This pan is an ideal cookware for any kitchen. It is easy to clean and wash. The pan with handle is long-lasting and durable. This pan has a comfortable handle which makes it easy to carry and handle. It is compatible with gas stoves. It has a deep well that prevents whole spices from jumping out of the pan as they're being cooked.,1 pc 42,pcs,1 pc 42,1,1,265,199,"Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",India,['8904126504447'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40290328_1-anjali-tadka-vati-wire-handle-otvw05-durable-comfortable-handle.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made from high-quality aluminium.
2. This is highly durable and long-lasting.
3. It ensures even heat distribution and fast cooking.
4. It has a comfortable handle making it easy to carry.","It is ideal for tadka, for frying small amounts of garlic, for dry roasting for spices, etc.","[{'EAN Code': '8904126504447'}, {'Manufactured & Marketed By': 'Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208'}, {'Country of origin': 'India'}]","Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",-,-,-,-,"1. Brand :- Anjali.
2. Type :- OTVW05 Tadka Vati Wire Handle
3. Body :- Aluminium Hardanodised Coating.
4. Dimensions :- 355.6X241.3X241.3 mm
5. Material Grade :- Aluminium
6. Non-Stick :- Yes
7. Handle Included :- Yes.
8. Handle Material :- Steel Wire Handle
9. Induction Friendly :- No
10. Package Content :- 1 Pc.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Aluminium Toaster - 3 layer Non Stick Coated, Bakelite Handle, 1 pc",Anjali toasters are budget-friendly gas toasters that make beautifully crisp sandwiches and toasts to be enjoyed any time. It has a non-stick coating inside and a handcrafted handle with maximum grip torque. They can be easily locked to keep the contents secured inside and are very easy and convenient to use.,1 pc,pcs,1 pc,1,1,515,379,"Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40114262_1-anjali-non-stick-gas-toaster-super-diamond-series.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '_EAN_'}, {'Manufacturer Name & ': 'Anjali Kitchenware pvt ltd, 170, B.T.Comp, Molod (W), Mumbai -400064,'}, {'Country of origin': 'India'}]",-,-,-,-,"Use soft sponge for cleaning, avoid using sharp and abrasive cleaners.","Brand - Anjali
Type - Non-Stick Toaster
Material - Aluminium
Coating - 3 layer Non-Stick
Electronic - No
Microwave Safe - No
Induction Bottom - No
Colour - Black
Design - Transparency
Length - 406.4mm
Width - 152.4mm
Height - 50.8mm
Dishwasher Safe - Yes
Package Contents: 1 Piece - Anjali Non-stick Toaster ""Super""
Diamond Series
Warranty - 1 year Poly Tetra Fluoro Ethylene (PTFE) Coating
100% Non-Toxic Coating
Scratch & Corrosion resistant
Dual Coat bottom with Scientific design for better fuel efficiency
High Quality with PTFE Non-Stick Coating
Bakelite handles for fire resistance.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Die Cast Aluminium Waffle Maker - Non Stick Coated, Bakelite Handle, 1 pc",Anjali Waffle Maker is made with non-stick plates and an elegant black body. It makes a perfect fit for your modern kitchen. Makes waffles healthier and cleaning easier. The body ensures convenient and hassle-free baking.,1 pc,pcs,1 pc,1,1,925,699,"Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",India,['8904126511889'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40290329_1-anjali-waffle-maker-non-stick.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40290329-2_1-anjali-waffle-maker-non-stick.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. Heat resistant
2. Easy to clean
3. Non-stick heating plates
4. Power indicators","1. Just pour in the batter
2. Switch it on and wait for the indicator to tell you when its done.","[{'EAN Code': '8904126511889'}, {'Manufactured & Marketed By': 'Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208'}, {'Country of origin': 'India'}]","Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",-,-,-,-,"1. Brand :- Anjali.
2. Type :- Waffle Maker.
3. Body :- Die Cast Aluminium
4. Dimensions :- 17X15.5X25.75 mm
5. Material Grade :- PTFE Coating, 100% Non-Toxic Coating. Bakelite handles for heat resistance.
6. Non-Stick :- Yes
7. Handle Included :- Yes.
8. Handle Material :- Backlite
9. Package Content :- 1 Pc.",-
RET,RET-10,RET-10-19,RET-10-19-10,RET-10-19-10-10,Anjali,"Anjali Die-Cast Aluminium Toaster - Non Stick Coated, Bakelite Handle, 1 pc","Anjali Toaster Popular is a non-stick sandwich toaster, made with high-quality food-grade aluminium. It is constructed from die-cast aluminium which makes it durable and strong. This has a non-stick coating that helps in effortless and healthy cooking. This toaster has an ergonomically designed handle for easy access. It has a locking system for proper heating. Use this toaster to make delicious sandwiches. It is easy to clean and wash. It is compatible with gas stoves.",1 pc,pcs,1 pc,1,1,565,349,"Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",India,['8904126504324'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40290337_1-anjali-toaster-popular-dtp-01-non-stick-food-grade.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1. It is made from high-quality food-grade die-cast aluminium.
2. It is made in the traditional way.
3. This is highly durable and long-lasting.
4. It ensures even heat distribution and fast cooking.
5. It has a comfortable handle making it easy to carry.","1. Perfect for making crispy sandwiches.
2. Condition before the first use with a thin smear of cooking oil.
3. Cook over low to medium heat for best cooking results.","[{'EAN Code': '8904126504324'}, {'Manufactured & Marketed By': 'Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208'}, {'Country of origin': 'India'}]","Anjali kitchenware pvt ltd,GALA NO 1,2,3 1ST FLR,4/5, SHREE SIDDHIVINAYAK INDL ESTATE,BEHIND COMPUTER KATA, GOLANI NAKA, WALIV, VASAI EAST,DIS. PALGHAR , PIN 401208",-,-,-,-,"1. Brand :- Anjali.
2. Type :- DTP 01 Toaster Popular High-quality Aluminium with PTFE Nonstick Coating. Bakelite handles for fire resistance.
3. Colour :- Black.
4. Dimensions :- 596.9X381X355.6 mm
5. Material Grade :- PTFE Coating ,100% Non-Toxic Coating.
6. Non-Stick :- Yes.
7. Induction Friendly :- No.
8. Handle Material :- Steel Wire Handle.
9. Handle Included :- Yes. 
10. Package Content :- 1 Pc.",-
