`,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS Eggs - D.O.S.E. With Immunity Boosters, 6 pcs","Abhi Eggs D.O.S.E. with Immunity Boosters eggs is enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc. It contains multi macronutrients along with immunity boosters. It is enriched with immunity boosters that strengthen the fighting capacity against diseases and infections. They can be used in many ways. It is buttery, very creamy and smooth.",6 pcs,pcs,6 pcs,6,1,125,112.5,"SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236",India,['40213680'],['10120004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40213680_2-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213680-2_1-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213680-3_1-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213680-4_1-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213680-5_1-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213680-6_1-abhi-eggs-eggs-dose-with-immunity-boosters.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc. 
It contains immunity boosters that strengthen the fighting capacity against diseases and infections.
It has high dietary content, protein, smell and rich taste.
Eggs that make your daily life healthy.",Boil and eat it or use it in any dish.,"[{'EAN Code': '40213680'}, {'Country of origin': 'India'}, {'Manufacturer': 'SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236'}, {'Marketed by': 'ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.'}, {'FSSAI Number': '10120004000258'}]","ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.",-,-,"1. Best before 20 days from packing when stored in a cool, dry and hygienic place.
2. 30 days from packing when stored in the refrigerator ( 0 - 5).",-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS Eggs - Nutri+ With Immunity Boosters, 6 pcs","Abhi Eggs Nutri+ With Immunity Boosters eggs are enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc. It contains multi macronutrients along with immunity boosters. It is enriched with immunity boosters that strengthen the fighting capacity against diseases and infections. They can be used in many ways. It is buttery, very creamy and smooth.",6 pcs,pcs,6 pcs,6,1,79,71.1,"SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236",India,['40213678'],['10120004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40213678_2-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213678-2_1-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213678-3_1-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213678-4_1-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213678-5_1-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213678-6_1-abhi-eggs-eggs-nutri-with-immunity-boosters.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc.
It contains immunity boosters that strengthen the fighting capacity against diseases and infections. 
It has high dietary content, protein, smell and rich taste.
Eggs that make your daily life healthy.",Boil and eat it or use it in any dish.,"[{'EAN Code': '40213678'}, {'Country of origin': 'India'}, {'Manufacturer': 'SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236'}, {'Marketed by': 'ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.'}, {'FSSAI Number': '10120004000258'}]","ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.",-,-,"1. Best before 20 days from packing when stored in a cool, dry and hygienic place.
2. 30 days from packing when stored in the refrigerator ( 0 - 5).",-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS Eggs - Vitamin D3 With Immunity Boosters, 6 pcs","Abhi Eggs Vitamin D3 With Immunity Boosters eggs are enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc. It contains multi macronutrients along with immunity boosters. It is enriched with immunity boosters that strengthen the fighting capacity against diseases and infections. They can be used in many ways. It is buttery, very creamy and smooth.",6 pcs,pcs,6 pcs,6,1,89,80.1,"SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236",India,['40213679'],['10120004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40213679_2-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213679-2_1-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213679-3_1-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213679-4_1-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213679-5_1-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40213679-6_1-abhi-eggs-eggs-vitamin-d3-with-immunity-boosters.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"It is enriched with Vitamin E, Vitamin A, Selenium, Iron, Zinc, Copper, Vitamins B1, B2, B9, B12, etc.
It contains immunity boosters that strengthen the fighting capacity against diseases and infections.
It has high dietary content, protein, smell and rich taste.
Eggs that make your daily life healthy.",Boil and eat it or use it in any dish.,"[{'EAN Code': '40213679'}, {'Country of origin': 'India'}, {'Manufacturer': 'SRKR & SKR Poultries, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari, District, Andhra Pradesh. 533236'}, {'Marketed by': 'ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.'}, {'FSSAI Number': '10120004000258'}]","ABHI FOODS, G6, Vijaya Krishna Residency, Beside Royal Enfield Showroom, Sainagar Colony, Madinaguda, Hyderabad, Telangana. 500049.",-,-,"1. Best before 20 days from packing when stored in a cool, dry and hygienic place.
2. 30 days from packing when stored in the refrigerator ( 0 - 5).",-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS Gold + with Immunity Booster, 6 pcs","The Gold+ Brown Eggs from the house of Abhi Eggs will help you to boost immunity. These eggs are rich in selenium, vitamin E and vitamin A. These eggs will help you to lose weight, prevent cancer and in maintaining heart health. Eggs help in 30% more absorption of immunity boosters than any other supplements namely tablets and powder. Care is taking not to include any kind of harmful chemical residues and growth promoters. The brand offers a premium range of eggs that are fortified with immunity boosters meant to strengthen the fighting capacity against diseases and infections.",6 pcs,pcs,6 pcs,6,1,90,81,"ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.",India,['40253055'],['10015063000664'],https://datalabs.siva3.io/image/Eunimart_groceries_40253055_2-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40253055-2_2-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40253055-3_2-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40253055-4_2-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40253055-5_2-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40253055-6_3-zeeba-classic-basmati-rice-pure-authentic-delicious-taste-unique-aroma.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40253055'}, {'FSSAI No': '10015063000664'}, {'Manufactured & Marketed by': 'ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.'}, {'Country of origin': 'India < br> Best before 13-03-2023'}, {'","ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.",-,-,-,Brown Egg
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS White Eggs - Dose With Immunity Boosters, Fortified, 24 pcs","Dose with Immunity Boosters Fortified White Eggs: This brand of Abhi Eggs is fortified with Organic Selenium, Omega DHA, Omega 3,6,9, EPA, Vitamin D3, Vitamin A, Vitamin E, Vitamin B12. _
DHA & EPA helps in Brain Development/Functioning, especially to kids & fetus of pregnant women, old age people. It may also help in reducing inflammation & Chronic Heart Diseases. It also helps in maintaining Heart & Eye Health.
Vitamin D3 helps in improving/maintaining both muscle & bone health/strength. Also helps in boosting immune system.
Egg is considered as a filling meal because of High protein & low fat thus used as a weight loss diet.
Selenium is a powerful antioxidant; it may help in reducing the risk of certain cancers. It also helps in improving metabolism process/functioning & helps in boosting our immune system and many more.
Vitamin E is a powerful antioxidant; Vitamin E may help in reducing the risk of Certain Skin Cancers. It also has anti-aging properties and helps in boosting immune system _
Vitamin A is a powerful antioxidant, it may help in reducing the risk of cataracts and macular degeneration in the eyes. Eggs are also high in Vitamin A, which is beneficial for Eye Health and many more.",24 pcs,pcs,24 pcs,24,1,490,490,"ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.",India,['8908015078149'],['1020004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40295898_1-abhi-eggs-white-eggs-dose-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295898-2_1-abhi-eggs-white-eggs-dose-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295898-3_1-abhi-eggs-white-eggs-dose-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295898-4_1-abhi-eggs-white-eggs-dose-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295898-5_1-abhi-eggs-white-eggs-dose-with-immunity-boosters-fortified.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eat as boiled eggs, scrambled eggs, or omelette. Boil/Fry/Raw.","[{'EAN Code': '8908015078149'}, {'FSSAI': '1020004000258'}, {'Country of Origin': 'India'}]",-,-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS White Eggs - Nutri+ With Immunity Boosters, Fortified, 24 Pc","Nutri+ with Immunity Boosters Fortified White Eggs: This brand of Abhi Eggs is fortified with Organic Selenium, Vitamin E, Vitamin A, Vitamin B12.
Egg is considered as a filling meal because of High protein & low fat thus used as a weight loss diet.
Selenium is a powerful antioxidant; it may help in reducing the risk of certain cancers. It also helps in improving metabolism process/functioning & helps in boosting our immune system and many more.
Vitamin E is a powerful antioxidant; Vitamin E may help in reducing the risk of Certain Skin Cancers. It also has anti-aging properties. And helps in boosting immune system.
Vitamin A is a powerful antioxidant; it may help in reducing the risk of cataracts and macular degeneration in the eyes. Eggs are also high in Vitamin A, which is beneficial for Eye Health and many more.",24 Pc,Pc,24 Pc,24,1,310,310,"ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.",India,['8908015078125'],['1020004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40295896_1-abhi-eggs-white-eggs-nutri-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295896-2_1-abhi-eggs-white-eggs-nutri-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295896-3_1-abhi-eggs-white-eggs-nutri-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295896-4_1-abhi-eggs-white-eggs-nutri-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295896-5_1-abhi-eggs-white-eggs-nutri-with-immunity-boosters-fortified.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eat as boiled eggs, scrambled eggs, or omelette. Boil/Fry/Raw.","[{'EAN Code': '8908015078125'}, {'FSSAI': '1020004000258'}, {'Country of Origin': 'India'}]",-,-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,ABHI EGGS,"ABHI EGGS White Eggs - Vit D3 With Immunity Boosters, Fortified, 24 pcs","Vit D3 with Immunity Boosters"" Fortified White Eggs: This brand of Abhi Eggs is fortified with Organic Selenium, Vitamin D3, Vitamin A, Vitamin E, Vitamin B12.
Vitamin D3 helps in improving/maintaining both muscle & bone health/strength. Also helps in boosting immune system 
Egg is considered as a filling meal because of High protein & low fat thus used as a weight loss diet 
Selenium is a powerful antioxidant; it may help in reducing the risk of certain cancers. It also helps in improving metabolism process/functioning & helps in boosting our immune system
Vitamin E is a powerful antioxidant, Vitamin E may help in reducing the risk of Certain Skin Cancers. It also has anti-aging properties and helps in boosting immune system
Vitamin A is a powerful antioxidant, it may help in reducing the risk of cataracts and macular degeneration in the eyes. Eggs are also high in Vitamin A, which is beneficial for Eye Health and many more.",24 pcs,pcs,24 pcs,24,1,350,350,"ABHI FOODS, D.No. 4-46, Narkedmilli, Atreyapuram, East Godavari District, Andhra Pradesh. 533236.",India,['8908015078132'],['1020004000258'],https://datalabs.siva3.io/image/Eunimart_groceries_40295897_1-abhi-eggs-white-eggs-vit-d3-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295897-2_1-abhi-eggs-white-eggs-vit-d3-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295897-3_1-abhi-eggs-white-eggs-vit-d3-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295897-4_1-abhi-eggs-white-eggs-vit-d3-with-immunity-boosters-fortified.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40295897-5_1-abhi-eggs-white-eggs-vit-d3-with-immunity-boosters-fortified.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Eat as boiled eggs, scrambled eggs, or omelette. Boil/Fry/Raw.","[{'EAN Code': '8908015078132'}, {'FSSAI': '1020004000258'}, {'Country of Origin': 'India'}]",-,-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Ayur,"Ayur Eggs - Free Range & Brown, Country, 6 pcs","Ayur free range eggs are laid by a hen that is free to range lush green pastures, perch, wing flap, dust bathe, stand, lay down and lay eggs without artificial interference in the laying cycles. They have unrestricted access to outdoor (75%) and indoor living space (25%) which is about 80 times or more than that of conventional caged hen, i.e., 40 sq.ft/hen. They are also supplemented with ayurvedic herbal feed such as turmeric, garlic, amla, drumstick leaves etc, to improve immunity/disease resistance.",6 pcs,pcs,6 pcs,6,1,95,95,"Sree Lakshmi Nutri Eggs, D.No. 8-244, Opp. Police Station, Ravulapalem - 533238",India,['40131161'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131161_1-ayur-eggs-free-range-brown-country.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131161-2_1-ayur-eggs-free-range-brown-country.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131161-3_1-ayur-eggs-free-range-brown-country.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131161-4_1-ayur-eggs-free-range-brown-country.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131161-5_1-ayur-eggs-free-range-brown-country.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Egg can be use to make scones ,omelettes, boiled eggs, egg bhurji and many more dishes.","[{'EAN Code': '40131161'}, {'Country of origin': 'India'}, {'Manufacturer Name and ': 'Sree Lakshmi Nutri Eggs, D.No. 8-244, Opp. Police Station, Ravulapalem - 533238'}]",-,-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Ayur Egg,"Ayur Egg Ayur Egg Immune, 6 pcs","Strong immunity protects you against many diseases like common flu and fever. Eggs are a rich source of high-protein, Omega 3 and essential minerals. Ayur Immune Egg comes from hens that are fed Ayurvedic herbs like turmeric, garlic, amla, drumstick leaves that contain high nutritional and anti-oxidant properties. This ensures the hens to get essential nutrients. Moreover, they are given only minerals like organic Zinc, organic Selenium to increase the nutritional proportion of the eggs. Eggs contain antioxidants that give benefits to eye health, reduce heart disease risk and helps to maintain cholesterol. They help to boost immunity & fend off common ailments like the flu or cold and reduce risk of major illnesses.",6 pcs,pcs,6 pcs,6,1,65,65,"SREE LAKSHMI NUTRI EGGS, D.No. 8-244, Main Road, Ravulapalem, E.G.District, Andhra Pradesh - 533 238 Country of Origin: India",India,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40078375_4-ayur-egg-ayur-egg-immune.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40078375-2_1-ayur-egg-ayur-egg-immune.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40078375-3_1-ayur-egg-ayur-egg-immune.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40078375-4_1-ayur-egg-ayur-egg-immune.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40078375-5_1-ayur-egg-ayur-egg-immune.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40078375-6_1-ayur-egg-ayur-egg-immune.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Egg can be use to make scones ,omelettes, boiled eggs, egg bhurji and many more dishes.","[{'EAN Code': '__ EAN__ Manufactured & Marketed By: SREE LAKSHMI NUTRI EGGS, D.No. 8-244, Main Road, Ravulapalem, E.G.District, Andhra Pradesh - 533 238 Country of Origin: India Best Before 25-11-2021 ","__ EAN__ Manufactured & Marketed By: SREE LAKSHMI NUTRI EGGS, D.No. 8-244, Main Road, Ravulapalem, E.G.District, Andhra Pradesh - 533 238 Country of Origin: India Best Before 25-11-2021 For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com",-,-,-,-
RET,RET-10,RET-10-15,RET-10-15-10,RET-10-15-10-10,Ayur Plus,"Ayur Plus Eggs, 6 pcs","Ayur Egg+ hens are fed with highly nutritious ayurvedic (herbal) feed such as turmeric, flaxseed, garlic etc. From the first day of life.
Due to which apart from an increase in hens immunity, Vitamins & Minerals such as Vitamin D, Selenium, Carotenoids, Omega 3, DHA in Ayur Egg+ are enriched.
These vitamins and minerals found in Ayur Egg+ are more beneficial to humans.",6 pcs,pcs,6 pcs,6,1,75,75,"Sree Lakshmi Nutri Eggs, 8-304, ravulapalem, East Godavari, Andhra Pradesh, 533238",India,['40106728'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40106728_5-ayur-plus-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40106728-2_3-ayur-plus-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40106728-3_1-ayur-plus-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40106728-4_1-ayur-plus-eggs.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40106728-5_1-ayur-plus-eggs.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Use in as Cooking Substitute, Flavour Variation.
Use in making omelettes, boiled eggs, egg bhurji","[{'EAN Code': '40106728'}, {'Country of origin': 'India'}, {'Manufactured & Marketed by': 'Sree Lakshmi Nutri Eggs, 8-304, ravulapalem, East Godavari, Andhra Pradesh, 533238'}]","Sree Lakshmi Nutri Eggs, 8-304, ravulapalem, East Godavari, Andhra Pradesh, 533238",-,-,-,-
