L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Usage,Other details.1,Marketed By,Baby Weight,Absorption Duration (in Hrs),Care Instruction,Ingredients,Ingredient
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia 100% Whole Wheat Bread, 450 g Pouch","Milled from 100% whole grains of wheat, this bread is low in saturated fat and doubles up as a good source of fibre.
Whether you live to eat or eat to live, it‚s best when it‚s done right. Britannia‚s range of wholesome and delicious bread is filled with the goodness you need to keep your body healthy and happy.",450 g Pouch,g Pouch,450 g Pouch,1,1,55,55,"Nanda Foods Unit II- Plot NO 16/1/4&5,IDA NACHARAM UPPAL MANDAL,KAPRA,MUNICIPALITY,Telengana-500076",India,['8901063342934'],['10015047000523'],https://datalabs.siva3.io/image/Eunimart_groceries_40162924_4-britannia-100-whole-wheat-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162924-2_4-britannia-100-whole-wheat-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162924-3_4-britannia-100-whole-wheat-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162924-4_4-britannia-100-whole-wheat-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40162924-5_4-britannia-100-whole-wheat-bread.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ready to eat.,"[{'EAN Code': '8901063342934'}, {'Country of origin': 'India'}, {'FSSAI Number': '10015047000523'}, {'Manufacturer Name and Address': 'Nanda Foods Unit II- Plot NO 16/1/4&5,IDA NACHARAM UPPAL MANDAL,KAPRA,MUNICIPALITY,Telengana-500076'}, {'Marketed by': 'Britannia industries Limited 5/1A Hungerford street, Kolkata, West Bengal-700017'}]","Britannia industries Limited 5/1A Hungerford street, Kolkata, West Bengal-700017",-,-,-,"Whole Wheat Flour, Water, Sugar, Oil, Salt, Improvers.",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Atta Bread, 400 g",Made from 51% wholewheat flour and enriched with essential B Vitamins (15% RDA from 100 gms) it is enriched with fibre with the distinct flavour of malt extract.,400 g,g,400 g,1,1,55,55,BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,India,['8901063301177'],['11217331000137'],https://datalabs.siva3.io/image/Eunimart_groceries_40091805_2-britannia-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091805-2_1-britannia-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091805-3_1-britannia-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091805-4_1-britannia-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091805-5_1-britannia-atta-bread.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Use with butter, toast, sandwich and many other ways.","[{'EAN Code': '8901063301177'}, {'FSSAI Number': '11217331000137'}, {'Manufactured & Marketed By': 'BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.'}, {'Country Of Origin': 'India'}]",BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,-,-,-,"Whole Wheat Flour (Atta) 38%, Refined Wheat flour, Yeast, Sugar, Virtual Gluten, Iodised Salt, Preservative, Improvers, Acidity Regulator, Vitamins",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Atta Kulcha/Bread - Made with 100% Whole Wheat, 250 g","Ready-to-eat 100% atta Kulcha-Toast it with butter, wrap it with Indian curry or spread it with Jam. Get healthy Khana without Pakana.",250 g,g,250 g,1,1,40,40,BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,India,['8901063341241'],['11217331000137'],https://datalabs.siva3.io/image/Eunimart_groceries_40091810_2-britannia-atta-kulcha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091810-2_1-britannia-atta-kulcha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091810-3_1-britannia-atta-kulcha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091810-4_1-britannia-atta-kulcha.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40091810-5_1-britannia-atta-kulcha.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eat as a Kulcha.,"[{'EAN Code': '8901063341241'}, {'FSSAI Number': '11217331000137'}, {'Manufactured & Marketed By': 'BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.'}, {'Country Of Origin': 'India'}]",BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,-,-,-,"Whole Wheat Flour (Atta) 68%, Kasthuri Methi, soya flour, Yeast, Sugar, Vitual Gluten, Iodised salt, Preservative, Improvers, Acidity Regulator, Vitamins",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Britannia Pav, 200 g Pouch","Britannia Breads are prepared from the premium wheat flour, containing carbohydrates and proteins that provide energy to the body, iron for healthy blood, calcium for strong teeth and bones. It improved with vitamins necessary for healthy living. This makes your preparation delicious as well as healthy.",200 g Pouch,g Pouch,200 g Pouch,1,1,35,35,BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,India,['8901063341975'],['11217331000137'],https://datalabs.siva3.io/image/Eunimart_groceries_20000008_2-britannia-britannia-pav.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000008-2_1-britannia-britannia-pav.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000008-3_1-britannia-britannia-pav.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000008-4_1-britannia-britannia-pav.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000008-5_1-britannia-britannia-pav.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use along with Pav with Pav-bhaji. Add butter to the pav for taste.,"[{'EAN Code': '8901063341975'}, {'FSSAI Number': '11217331000137'}, {'Manufactured & Marketed By': 'BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.'}, {'Country Of Origin': 'India'}]",BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,-,-,-,"Refined Wheat Flour Maida, Yeast, Sugar, Virtual Gluten, Iodised Salt, Preservative, Improvers, Acidity Regulator, Vitamins",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Brown Bread - With Goodness Of Wheat, Enriched With Vitamins, 400 g","Whether you live to eat or eat to live, it‚s best when it‚s done right. Britannia‚s range of wholesome and delicious bread is filled with the goodness you need to keep your body healthy and happy. Britannia Brown Bread is made from the finest Wheat Flour Atta, Refined Wheat flour Maida, Containing carbohydrate and protein that give energy to the body. It can be had by just about anyone for a healthy breakfast along with butter ghee, milk and egg.",400 g,g,400 g,1,1,55,55,"BritanniaSIDDHIVINAYAK VEG FOODS PVT LTD, 7/3O7 Five Star Mahagujarat Estate Moraiya, Sanand, Ahmedabad Zone 1, Ahmedabad, Gujarat, 382210 & Britannia Industries Limited 5/1A Hunger ford street, Kolkata, West Bengal-700017",India,['8901063343450'],['10021021000414'],https://datalabs.siva3.io/image/Eunimart_groceries_40092241_6-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40092241-2_7-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40092241-3_6-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40092241-4_6-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40092241-5_6-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40092241-6_1-britannia-brown-bread-with-goodness-of-wheat-enriched-with-vitamins.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901063343450'}, {'FSSAI No': '10021021000414'}, {'Manufactured & Marketed by': 'BritanniaSIDDHIVINAYAK VEG FOODS PVT LTD, 7/3O7 Five Star Mahagujarat Estate Moraiya, Sanand, Ahmedabad Zone 1, Ahmedabad, Gujarat, 382210 & Britannia Industries Limited 5/1A Hunger ford street, Kolkata, West Bengal-700017'}, {'Country of origin': 'India'}]","BritanniaSIDDHIVINAYAK VEG FOODS PVT LTD, 7/3O7 Five Star Mahagujarat Estate Moraiya, Sanand, Ahmedabad Zone 1, Ahmedabad, Gujarat, 382210 & Britannia Industries Limited 5/1A Hunger ford street, Kolkata, West Bengal-700017",-,-,-,"Wheat Flour (Atta) 32%, Maida, Yeast, Wheat Bran, Sugar, Iodised Salt, Edible Vegetable Oil, Preservatives, Improver",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Milk Bread, 400 g Pouch","The bread is improved with vitamins essential for strong living. This makes your preparation tasty as well as healthy. Britannia Breads are prepared from the finest wheat flour, including carbohydrates and proteins that provide power to the body, calcium for sturdy bones and teeth and iron for strong blood.",400 g Pouch,g Pouch,400 g Pouch,1,1,50,50,BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,India,['8901063341180'],['11217331000137'],https://datalabs.siva3.io/image/Eunimart_groceries_20000005_7-britannia-milk-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000005-2_3-britannia-milk-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000005-3_3-britannia-milk-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000005-4_3-britannia-milk-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_20000005-5_3-britannia-milk-bread.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Use with butter, toast, sandwich and in many other ways.","[{'EAN Code': '8901063341180'}, {'FSSAI Number': '11217331000137'}, {'Manufactured & Marketed By': 'BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.'}, {'Country Of Origin': 'India'}]",BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,-,-,-,"Refined Wheat Flour, Milk Solids, Soya Flour Yeast, Sugar, Virtual Gluten, Iodised Salt, Preservative, Improvers, Acidity Regulator, Vitamins",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,Britannia,"Britannia Sweet Bread, 400 g","Sweet bread is a the classic bread that is loved by all to make your mouth sweet and add to your breakfast some much needed carbohydrates and energy. You can have it with milk or butter. Ideal for school going children who can have it during recess time. It can be had by just about anyone for a healthy breakfast along with butter, ghee or milk and eggs.",400 g,g,400 g,1,1,50,50,BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,India,['40200525'],['11217331000137'],https://datalabs.siva3.io/image/Eunimart_groceries_40200525_1-britannia-sweet-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200525-2_1-britannia-sweet-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200525-3_1-britannia-sweet-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200525-4_1-britannia-sweet-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40200525-5_1-britannia-sweet-bread.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Use with butter, toast, sandwich and many other ways.","[{'EAN Code': '40200525'}, {'FSSAI Number': '11217331000137'}, {'Manufactured & Marketed By': 'BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.'}, {'Country Of Origin': 'India'}]",BIL- Rajashari Foods Pvt Ltd 17 platform road seshadripuram bangalore.,-,-,-,"Refined Wheat flour, Milk Solid, Soya flour Yeast, Sugar, Virtual Gluten, Iodised Salt, Preservative, Improvers, Acidity Regulator, Vitamins",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,English Oven,"English Oven 100% Atta Bread, 400 g Pouch",Healthy and nutritious brown bread made with whole wheat flour and cultured with yeast. Made with natural ingredients and contains no artificial colours and flavours. Brown bread that is fit to be had with accompaniment of your choice. Bread is the Englishman's breakfast that has been loved all over the world. This bread is both healthy and tasty when had with butter or jam or made as per the recipe of your choice. Have a King's breakfast by having a Sandwich with some eggs and milk.,400 g Pouch,g Pouch,400 g Pouch,1,1,55,55,"Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306",India,['8906001381136'],['10012051000068'],https://datalabs.siva3.io/image/Eunimart_groceries_40201557_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-2_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-3_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-4_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-5_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-6_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-7_3-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-8_2-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-9_2-english-oven-100-atta-bread.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40201557-10_2-english-oven-100-atta-bread.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906001381136'}, {'FSSAI Number': '10012051000068'}, {'Manufactured & Marketed By': 'Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306'}, {'Country of Origin': 'India'}]","Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306",-,-,-,"Wheat Flour (Atta(52%), Water, Yeast, Sugar, Edible Common Salt, Wheat Gluten, Edible Vegetable Oils (Palm), Class II Preservative (282), Malt Powder, Improvers (170 (i), 510,923,1100), Acidity Regulator (260), Emulsifiers (471, 472e, 481 (i)), Antioxidant (300) (Numbers in brackets are as per International Numbering System)",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,English Oven,"English Oven 100% Whole Wheat Bread, 400 g",High fiber soft and healthy brown bread made from whole wheat flour. Sprinkling of the wheat bran on the top increased the fiber content and nutrition.,400 g,g,400 g,1,1,55,55,"Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306",India,['3943001381143'],['10012051000068'],https://datalabs.siva3.io/image/Eunimart_groceries_40111559_6-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-2_6-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-3_6-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-4_6-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-5_6-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-6_3-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-7_3-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-8_2-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-9_2-english-oven-100-whole-wheat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40111559-10_2-english-oven-100-whole-wheat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '3943001381143'}, {'FSSAI Number': '10012051000068'}, {'Manufactured & Marketed By': 'Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306'}, {'Country of Origin': 'India'}]","Mrs. Bectors Food Specialities Ltd., 11-A, Udyog Vihar, graeter Noida - 201306",-,-,-,"BREAD INGREDIENTS:- BREAD INGREDIENTS:- Whole Wheat Flour (Atta) (51%), Water, Yeast, Sugar , Edible Common Salt, Edible Vegetable Oils (Palm),Wheat Gluten, Class II Preservative (282), Malt Powder, Acidity Regulator (260), Emulsifiers (471,472e,481 (i)), Improvers (170 (i),510,923,1100) and Antioxidant (300) (Numbers in brackets are as per International Numbering System)",-
RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,English Oven,"English Oven Bread - Brown, 400 g Pouch",Healthy n Natural daily bread,400 g Pouch,g Pouch,400 g Pouch,1,1,55,55,"Shop no 1 ramabai nagar nr. Hiranandni hospital & iit maine gate opp powai, English school powai, Mumbai, Maharashtra 400076-Delhi, Gurgaon & Noida-11-B, Udyog Vihar, Greater Noida, Dist. Gautam Budh Nagar (U.P.) - 201308",India,['8908007029197'],-,https://datalabs.siva3.io/image/Eunimart_groceries_70001169_11-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-2_7-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-3_7-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-4_7-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-5_6-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-6_3-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-7_1-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-8_1-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-9_1-english-oven-bread-brown.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_70001169-10_1-english-oven-bread-brown.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8908007029197'}, {'Country of origin': 'India'}, {'Manufacturer Name and Address': 'Shop no 1 ramabai nagar nr. Hiranandni hospital & iit maine gate opp powai, English school powai, Mumbai, Maharashtra 400076-Delhi, Gurgaon & Noida-11-B, Udyog Vihar, Greater Noida, Dist. Gautam Budh Nagar (U.P.) - 201308'}]",-,-,-,-,-,"Wheat Flour(Maida), Water,Yeast,Sugar,Iodised Salt, Edible Vegetable Oil,"
