L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Specification
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Aged Cheddar Cheese - Handcrafted Artisan Organic, 200 g Pouch","Akshayakalpa organic aged cheddar cheese is handcrafted is high in protein and is suitable for vegetarians. This wholesome cheese has no preservatives, artificial additives or artificial flavour.

Enjoy the sharp and exquisite flavour of Akshayakalpas Artisan Organic Aged Cheddar. It adds a rich decadence and smooth creaminess to all your delicious recipes. Aged cheddar cheese has been an ingredient of many world-famous recipes. Add it as a topping on your pizza or cook delicious macaroni and cheese.",200 g Pouch,g,200 g Pouch,1,1,285,242.25,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",India,['40194549'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_40194549_1-akshayakalpa-organic-aged-cheddar-cheese.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40194549-2_1-akshayakalpa-organic-aged-cheddar-cheese.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40194549-3_1-akshayakalpa-organic-aged-cheddar-cheese.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Use for cooking
Refrigerated at 4 Degree C","['EAN Code: 40194549', 'Country of origin: India', 'FSSAI Number: 11218317000001', 'Manufactured & Marketed By: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131', 'Best before 16-04-2023', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",-,-,-,-,"Milk, Culture, Enzymes, Himalayan Salt",-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Amrutha A2 Organic Curd, 500 g Pouch","Akshayakalpa Amrutha organic curd made indigenously, from the fresh, wholesome organic Akshayakalpa Milk given by Native breeds of Karnataka grasslands, is packed with beneficial probiotics. Is a superfood that is fresh, tasty and soothing. It is a balanced source of proteins, good fats and carbohydrates. Think Curd, Think Akshayakalpa!",500 g Pouch,g,500 g Pouch,1,1,62,62,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",India,['40148720'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_40148720_2-akshayakalpa-amrutha-a2-organic-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148720-2_2-akshayakalpa-amrutha-a2-organic-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148720-3_2-akshayakalpa-amrutha-a2-organic-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148720-4_2-akshayakalpa-amrutha-a2-organic-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148720-5_2-akshayakalpa-amrutha-a2-organic-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148720-6_2-akshayakalpa-amrutha-a2-organic-curd.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can consume directly or can use in cooking.,"['EAN Code: 40148720', 'Country of origin: India', 'FSSAI Number: 11218317000001', 'Manufactured & Marketed By: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131', 'Best before 4 days from delivery date', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",-,-,-,-,Certified Organic A2 Cow Milk With Active Probiotic Bacterial Culture,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Artisanal Organic Set Curd, 1 Kg Tub","Akshayakalpa Organic curd made indigenously, from the fresh, wholesome organic Akshayakalpa Milk, is packed with beneficial probiotics. Is a superfood that is fresh, tasty and soothing. It is a balanced source of proteins, good fats and carbohydrates.",1 Kg Tub,Kg,1 Kg Tub,1,1,155,145,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",India,['40148728'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_40148728_4-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-2_4-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-3_3-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-4_3-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-5_3-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-6_3-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40148728-7_2-akshayakalpa-artisanal-organic-set-curd.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can consume directly or can use in cooking.,"['EAN Code: 40148728', 'Country of origin: India', 'FSSAI Number: 11218317000001', 'Manufactured & Marketed By: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131', 'Best before 8 days from delivery date', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",-,-,-,-,Certified Organic Cow Milk With Active Probiotic Bacterial Culture,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Artisanal Organic Set Curd, 2x1 kg Multipack","Akshayakalpa Organic curd made indigenously, from the fresh, wholesome organic Akshayakalpa Milk, is packed with beneficial probiotics. Is a superfood that is fresh, tasty and soothing. It is a balanced source of proteins, good fats and carbohydrates.",2x1 kg Multipack,kg,2x1 kg Multipack,1,1,310,285,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",India,['1222091'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_222091_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-2_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-3_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-4_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-5_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-6_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-7_2-akshayakalpa-artisanal-organic-set-curd.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_222091-8_2-akshayakalpa-artisanal-organic-set-curd.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,You can consume directly or can use in cooking.,"['EAN Code: 1222091', 'Country of origin: India', 'FSSAI Number: 11218317000001', 'Manufactured & Marketed By: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131', 'Best before 8 days from delivery date', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C.R.Patna Tq, Hassan Dist, 573131",-,-,-,-,Certified Organic Cow Milk With Active Probiotic Bacterial Culture,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Cheddar Cheese - Chilli, Handcrafted Artisan Organic, 200 g Pouch","Cheddar cheese is the most popular type of cheese in the UK. Akshayakalpa Chilli Cheddar Cheese is handcrafted, organic, and an absolute delight for cheese lovers. No preservatives, artificial additives or flavouring, and emulsifiers are used in this mild cheddar cheese.
Unlike industrial methods where artificial emulsifiers and preservatives are used, our cheese is preserved using 100% natural Himalayan Pink Salt for longer life. ? The milk used to make this delectable cheese is produced by our well-nourished, stress-free and healthy cows. Our cattle are fed pesticide-free fodder and allowed to roam freely in open paddock areas which have an abundance of organic pasture and clean drinking water. ? Made using the artisanal method, we add microbial rennet to produce fresh cheddar instead of animal rennet. The cheese blocks are aged for 3 months in ripening rooms where extensive checks are conducted every day to keep them mould-free.",200 g Pouch,g,200 g Pouch,1,1,275,233.75,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['40131635'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131635_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131635-2_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131635-3_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131635-4_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131635-5_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Refrigerated at 4 Degree C,"['EAN Code: 40131635', 'Country Of Origin: India', 'Manufactured & Marketed by: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131', 'Best before 16-04-2023', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,"Milk, Culture, Enzymes, Himalayan Salt",-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Cheddar Cheese - Pepper, Handcrafted Artisan Organic, 200 g Pouch","Cheddar cheese is the most popular type of cheese in the UK. Akshayakalpa Pepper Cheddar is handcrafted, organic, and an absolute delight for cheese lovers. No preservatives, artificial additives or flavouring, and emulsifiers are used in this mild cheddar cheese.
Made using 100% pure and organic cow milk, our Artisan Organic Cheddar proves to be a nutritious addition to your daily meals. ? Unlike industrial methods where artificial emulsifiers and preservatives are used, our cheese is preserved using 100% natural Himalayan Pink Salt for longer life. ? The milk used to make this delectable cheese is produced by our well-nourished, stress-free and healthy cows. Our cattle are fed pesticide-free fodder and allowed to roam freely in open paddock areas which have an abundance of organic pasture and clean drinking water. ? Made using the artisanal method, we add microbial rennet to produce fresh cheddar instead of animal rennet. The cheese blocks are aged for 3 months in ripening rooms where extensive checks are conducted every day to keep them mould-free.",200 g Pouch,g,200 g Pouch,1,1,282,239.7,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['40131636'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131636_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131636-2_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131636-3_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131636-4_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131636-5_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Refrigerated at 4 Degree C,"['EAN Code: 40131636', 'Country Of Origin: India', 'Manufactured & Marketed by: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131', 'Best before 16-04-2023', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,"Milk, Culture, Enzymes, Himalayan Salt",-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Cheddar Cheese - Smoked, Handcrafted Artisan Organic, 200 g Pouch","Cheddar cheese is the most popular type of cheese in the UK. Akshayakalpa Smoked Cheddar is handcrafted, organic, and an absolute delight for cheese lovers. No preservatives, artificial additives or flavouring, and emulsifiers are used in this mild cheddar cheese.
Made using 100% pure and organic cow milk, our Artisan Organic Cheddar proves to be a nutritious addition to your daily meals. ? Unlike industrial methods where artificial emulsifiers and preservatives are used, our cheese is preserved using 100% natural Himalayan Pink Salt for longer life. ? The milk used to make this delectable cheese is produced by our well-nourished, stress-free and healthy cows. Our cattle are fed pesticide-free fodder and allowed to roam freely in open paddock areas which have an abundance of organic pasture and clean drinking water. ? Made using the artisanal method, we add microbial rennet to produce fresh cheddar instead of animal rennet. The cheese blocks are aged for 3 months in ripening rooms where extensive checks are conducted every day to keep them mould-free.Cheese crackers or cheese balls, this smoked cheddar adds creamy, earthy goodness to all your dishes. Italian or continental, add it to any cuisine and make it a smoky delicacy.",200 g Pouch,g,200 g Pouch,1,1,280,238,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['40131637'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131637_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131637-2_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131637-3_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131637-4_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131637-5_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Refrigerated at 4 Degree C,"['EAN Code: 40131637', 'Country Of Origin: India', 'Manufactured & Marketed by: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131', 'Best before 16-04-2023', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,"Milk, Culture, Enzymes, Himalayan Salt",-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Cooking Butter - Unsalted, Organic, Tub, 3x200 g Multipack","Not only your breakfast, make your meals even more delicious with Akshayakalpas healthy & tasty pure butter. Just one spoon of this butter will make your everyday dish fun for your kid. It is organic and suitable for vegetarians. This wholesome butter is high in protein and contains no preservatives, artificial flavouring, additives, or emulsifier.",3x200 g Multipack,g,3x200 g Multipack,1,1,690,586.5,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['1213679'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_213679_1-akshayakalpa-cooking-butter-unsalted-organic-tub.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Use for cooking or as spread on your breakfast table.,"['EAN Code: 1213679', 'Country Of Origin: India', 'FSSAI No: 11218317000001', 'Manufactured & Marketed by: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131', 'Best before 16-03-2023', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,-,-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Curd - Set, Artisanal, Organic, 400 g Cup","Made from pure and certified organic milk, this artisanal curd is the perfect combination of health and taste. Loaded with several essential nutrients, curd is comparatively lighter on the stomach and easier to digest than milk. Curd also has an amazing effect on the skin and helps maintain its beauty.",400 g Cup,g,400 g Cup,1,1,80,80,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['40135118'],['11218317000001'],https://datalabs.siva3.io/image/Eunimart_groceries_40135118_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-2_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-3_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-4_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-5_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-6_2-akshayakalpa-curd-set-artisanal-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40135118-7_1-akshayakalpa-curd-set-artisanal-organic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40135118', 'Country Of Origin: India', 'FSSAI No: 11218317000001', 'Manufactured & Marketed by: Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131', 'Best before 8 days from the date of delivery', '","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,"Pasteurised Milk, Active Live Cultures, Thickener (INS440)",-
RET,RET-10,RET-10-11,RET-10-11-12,RET-10-11-12-10,AKSHAYAKALPA,"AKSHAYAKALPA Malai Paneer - Organic, 200 g","Enjoy the authentic taste of homemade paneer every day with Akshayakalpa Malai Paneer. Healthy & tasty, it is an organic dairy product which is absolutely suitable for vegetarians. No preservatives, artificial additives or flavouring, and no emulsifiers are used in this malai paneer.",200 g,g,200 g,1,1,130,130,"Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",India,['40131633'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40131633_5-akshayakalpa-malai-paneer-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131633-2_4-akshayakalpa-malai-paneer-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131633-3_4-akshayakalpa-malai-paneer-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131633-4_4-akshayakalpa-malai-paneer-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131633-5_4-akshayakalpa-malai-paneer-organic.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40131633-6_2-akshayakalpa-malai-paneer-organic.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40131633'}, {'Country Of Origin': 'India'}, {'Manufactured & Marketed by': 'Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131'}]","Akshayakalpa Farms & Foods Pvt Ltd, Kodihally, Anathi Gramapanchayath, Bagur(H), C. R. Patna Tq, Hassan Dist., 573131",-,-,-,-,Organic Milk,-
