L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Care Instruction,Ingredients,Ingredient,Specification,About
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,AMADO,"AMADO Premium Spanish Saffron Threads, 3 g Bottle","We bring top-quality natural saffron, directly from the farms of Spain to your kitchen table. This hand-harvested delicacy has an intense aroma and adds a beautiful golden hue to cooking. Our quality is of the highest grade with only selected strands being used to offer unmatched aroma, colour and flavour We offer Saffron Coupe (a French word for cut). This is the red part of the thread (Stigma) which is produced through an elaborate process separating it from the style. It is in this part that is concentrated on all the active ingredients of saffron.",3 g Bottle,g,3 g Bottle,1,1,1550,1550,"Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain",Spain,['793591054872'],['10018022008057'],https://datalabs.siva3.io/image/Eunimart_groceries_40166098_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166098-2_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166098-3_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166098-4_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166098-5_1-amado-spanish-saffron.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"These recommendations will help you get all the colour, fragrance and flavour out of your saffron: 
1) Immerse the strands into a warm liquid (water, stock, single cream, lemon, wine, vinegar...) in accordance with your recipe. Leave to stand for at least 10 minutes, stirring occasionally. Strain the liquid and pour into the dish you are preparing. The saffron threads may also be used for a decorative effect in some of your recipes. 
2) Alternatively, toast the threads over a gentle heat for 2 or 3 minutes and crush using a pestle and mortar or by simply pressing down with the back of a spoon. Use the crushed saffron in the same way as the threads, as indicated in point 1. 
NB: When preparing soups, or dishes with a stock or sauce, do not allow the saffron to boil for too long. Add towards the end of cooking.","['EAN Code:793591054872', 'Country of origin: Spain', 'FSSAI Number: 10018022008057', 'Manufacturer Name and : Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain', 'Marketed by: Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001', 'Best Before__PSL__days from the date of delivery', '","Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001",-,-,-,-,Saffron.,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,AMADO,"AMADO Spanish Saffron Threads, 2 g Tin","We bring top-quality natural saffron, directly from the farms of Spain to your kitchen table. This hand-harvested delicacy has an intense aroma and adds a beautiful golden hue to cooking. Its quality is of the highest grade with only selected strands being used to offer unmatched aroma, colour and flavour Amado offers Saffron Coupe (a French word for cut). This is the red part of the thread (Stigma) which is produced through an elaborate process separating it from the style. It is in this part that is concentrated on all the active ingredients of saffron.",2 g Tin,g,2 g Tin,1,1,1100,1100,"Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain",Spain,-,['10018022008057'],https://datalabs.siva3.io/image/Eunimart_groceries_40166097_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-2_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-3_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-4_1-amado-spanish-saffron.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"These recommendations will help you get all the colour, fragrance and flavour out of your saffron: 
1) Immerse the strands into a warm liquid (water, stock, single cream, lemon, wine, vinegar...) in accordance with your recipe. Leave to stand for at least 10 minutes, stirring occasionally. Strain the liquid and pour into the dish you are preparing. The saffron threads may also be used for a decorative effect in some of your recipes. 
2) Alternatively, toast the threads over a gentle heat for 2 or 3 minutes and crush using a pestle and mortar or by simply pressing down with the back of a spoon. Use the crushed saffron in the same way as the threads, as indicated in point 1. 
NB: When preparing soups, or dishes with a stock or sauce, do not allow the saffron to boil for too long. Add towards the end of cooking.","['EAN Code: __ EAN__', 'FSSAI Number: 10018022008057', 'Manufacturer Name and : Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain', 'Marketed by: Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001', 'Best Before__PSL__days from the date of delivery', '","Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001",-,-,-,-,Saffron.,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,AMADO,"AMADO Spanish Saffron Threads, 2 g Tin","We bring top-quality natural saffron, directly from the farms of Spain to your kitchen table. This hand-harvested delicacy has an intense aroma and adds a beautiful golden hue to cooking. Its quality is of the highest grade with only selected strands being used to offer unmatched aroma, colour and flavour Amado offers Saffron Coupe (a French word for cut). This is the red part of the thread (Stigma) which is produced through an elaborate process separating it from the style. It is in this part that is concentrated on all the active ingredients of saffron.",2 g Tin,g,2 g Tin,1,1,1100,1100,"Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain",Spain,-,['10018022008057'],https://datalabs.siva3.io/image/Eunimart_groceries_40166097_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-2_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-3_1-amado-spanish-saffron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40166097-4_1-amado-spanish-saffron.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"These recommendations will help you get all the colour, fragrance and flavour out of your saffron: 
1) Immerse the strands into a warm liquid (water, stock, single cream, lemon, wine, vinegar...) in accordance with your recipe. Leave to stand for at least 10 minutes, stirring occasionally. Strain the liquid and pour into the dish you are preparing. The saffron threads may also be used for a decorative effect in some of your recipes. 
2) Alternatively, toast the threads over a gentle heat for 2 or 3 minutes and crush using a pestle and mortar or by simply pressing down with the back of a spoon. Use the crushed saffron in the same way as the threads, as indicated in point 1. 
NB: When preparing soups, or dishes with a stock or sauce, do not allow the saffron to boil for too long. Add towards the end of cooking.","['EAN Code: __ EAN__', 'FSSAI Number: 10018022008057', 'Manufacturer Name and : Hijos De Eustaquio Abad Y Cia,S.L Menende Pelayo,46,03660 Novelda, Spain', 'Marketed by: Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001', 'Best Before__PSL__days from the date of delivery', '","Navya Ventures,59 Sonawalla Bldg,2nd Floor,BS Marg,Mumbai-400001",-,-,-,-,Saffron.,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Aachi Asafoetida Powder 50 GM Jar, 50 g","Aachi Asafoetida taste is sour and acrid however, when fried evenly, it adds superb aroma and taste. It makes the dishes easier to digest",50 g,g,50 g,1,1,85,68,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['40041019'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40041019_4-aachi-compounded-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041019-2_4-aachi-compounded-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041019-3_4-aachi-compounded-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041019-4_4-aachi-compounded-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041019-5_4-aachi-compounded-powder.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041019-6_4-aachi-compounded-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40041019', 'Manufactured & Marketed By:AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'FSSAI Number :', 'Best before __PSL__ days from the date of delivery', '","AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",-,-,-,-,-,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Jaljeera Powder, 50 g","Jal Jeera Masala is a spice blend for fried savories. Use Jal-Jeera masala with Gol-Gupa and Pani Puri. It make the cooking easier and much more enjoyable for the Indian housewives. Also use it for making Dahi Bhalla, chat, papyri, papad more delicious",50 g,g,50 g,1,1,29,23.2,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['40041034'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40041034_3-aachi-jaljeera-powder.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40041034', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,-,-,-,"Jal Jeera Masala is a spice blend for fried savories. Use Jal-Jeera masala with Gol-Gupa and Pani Puri. It make the cooking easier and much more enjoyable for the Indian housewives. Also use it for making Dahi Bhalla, chat, papyri, papad more delicious"
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Masala - Chaat, 50 g","Chaat Masala: Made with the purest amchur, anardana and other spices, Chaat Masala will transport you to the streets of India, Whether it's papdi, bhel or aloo, this magic blend makes chaat hard to resist, Enjoy it with salads, fresh fruits, pakoras or kebabs",50 g,g,50 g,1,1,37,29.6,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['40041029'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40041029_2-aachi-masala-chaat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041029-2_2-aachi-masala-chaat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041029-3_2-aachi-masala-chaat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041029-4_2-aachi-masala-chaat.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40041029-5_2-aachi-masala-chaat.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40041029', 'Country of origin: India', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', '",-,-,-,-,-,-,-,-,-
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Masala - Chana, 50 g","It gives you an experience of food which tastes just like clean home cooked food. It is your prepared help in kitchen for genuine taste, variety of choices in dissimilar Indian cuisines and lofty on convenience. Their range now comprises of Soups, Paneer gravies, Vegetable curries and different",50 g,g,50 g,1,1,37,29.6,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['40041030'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40041030_3-aachi-masala-chana.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40041030', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,-,-,-,"It gives you an experience of food which tastes just like clean home cooked food. It is your prepared help in kitchen for genuine taste, variety of choices in dissimilar Indian cuisines and lofty on convenience. Their range now comprises of Soups, Paneer gravies, Vegetable curries and different"
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Masala - Chilli Chicken, 50 g Pouch","Aachi Chilli Chicken Masala can be used to make Chilli Gobi, Chilli Mushroom, Chilli Baby Corn.",50 g Pouch,g,50 g Pouch,1,1,34,27.2,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['8906021120517'],-,https://datalabs.siva3.io/image/Eunimart_groceries_286162_1-aachi-masala-chilli-chicken.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Aachi Chilli Chicken Masala can be used to make Chilli Gobi, Chilli Mushroom, Chilli Baby Corn.","['EAN Code: 8906021120517', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,"Chilli powder, Corn flour, Garlic, Cassia, Cloves, Edible oil, Salt.",-,-,Aachi Chilli Chicken Masala recovers the tang of the food. Produced with superiority ingredients and packed in well hygienic environment.
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Masala - Crispy Fried Chicken Mix, 50 g",A Mix That Enables Consumers To Create Restaurant Style Fried Vegetable At Home,50 g,g,50 g,1,1,41,41,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['40041033'],-,https://datalabs.siva3.io/image/Eunimart_groceries_40041033_3-aachi-masala-crispy-fried-chicken-mix.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['EAN Code: 40041033', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,-,-,-,A Mix That Enables Consumers To Create Restaurant Style Fried Vegetable At Home
RET,RET-10,RET-10-1A,RET-10-1A-10,RET-10-1A-10-10,Aachi,"Aachi Masala - Fish Curry, 50 g Pouch","Heat oil to fry onions, peeled garlic, curry leaves, tomatoes and cook well. Add Aachi Fish Curry Masala, 400ml of water, tamarind pulp, Coconut paste, 150ml of water and finally add 250g of fish and desired quantity of salt. Cook for 20minutes till the fish gets cooked. Now delicious Aachi Fish Curry is ready to serve hot.",50 g Pouch,g,50 g Pouch,1,1,28,22.4,"AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067",India,['8906021121064'],-,https://datalabs.siva3.io/image/Eunimart_groceries_286164_1-aachi-masala-fish-curry.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Heat oil to fry onions, peeled garlic, curry leaves, tomatoes and cook well. Add Aachi Fish Curry Masala, 400ml of water, tamarind pulp, Coconut paste, 150ml of water and finally add 250g of fish and desired quantity of salt. Cook for 20minutes till the fish gets cooked. Now delicious Aachi Fish Curry is ready to serve hot.","['EAN Code: 8906021121064', 'Manufactured by: AACHI MASALA FOODS PVT LTD, Benny products, No.89/2A, Nallur village, Cholavaram(post), Chennai - 600067', 'Country of origin: India', 'Best before 30-08-2023', '",-,-,-,-,-,"Chilli, Pepper, Coriander, Cumin, Mustard, Fenugreek, Turmeric, Curry leaves.",-,-,Aachi Masala - Fish Curry is used to make delicious spicy fish curry gravy. It prepared from superior quality of ingredients.
