L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,Images.9,Images.10,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Composition,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Features,Ingredients,Ingredient,Package Contains,About
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,7 Up Nimbooz,"7 Up Nimbooz Soft Drink - With Real Lemon Juice, 250 ml Bottle","Enjoy this refreshing tangy drink and quench your thirst. 7UP Nimbooz is tangier and bubblier than the other 7UPs. Experience a burst of refreshing taste with each sip. Due to its amazing taste this refreshing drink has become the main player in the juice-based drinks category. Nimbooz is as good as homemade refreshing nimbu pani, and has the goodness of real lemons which are rich in vitamin C and help your immune system to stay strong. On summer days, Nimbooz is sure to keep you hydrated and rejuvenated all day long while helping you beat the summer heat.",250 ml Bottle,ml,250 ml Bottle,1,1,20,20,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India",India,['8902080000425'],-,https://datalabs.siva3.io/image/Eunimart_groceries_265893_7-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-2_6-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-3_6-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-4_6-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-5_6-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-6_1-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265893-7_1-7-up-nimbooz-soft-drink-with-real-lemon-juice.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8902080000425'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & ': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India'}]",-,-,-,-,"It contains water, sugar, concentrated lemon juice (0.8%*), acidity regulators (296, 330), salt and preservative (202).",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,AIMIL,"AIMIL Syrup - Amyron, 200 ml","Amyron is a complete nutritional supplement which can also improve haemoglobin level. Amyron is a gentle nutritional supplement of Iron, other essential minerals, vitamins, with vitalizing herbs which contributes to the reduction of tiredness & fatigue plus normal energy release & vitality.",200 ml,ml,200 ml,1,1,198,198,Aimil Pharmaceuticals Ltd,India,['8904054100346'],-,https://datalabs.siva3.io/image/Eunimart_groceries_256706_3-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-2_1-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-3_1-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-4_1-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-5_1-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-6_1-aimil-syrup-amyron.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_256706-7_1-aimil-syrup-amyron.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[{'EAN Code': '8904054100346'}],-,-,-,-,-,-,-,"Amyron is a complete nutritional supplement which can also improve haemoglobin level. Amyron is a gentle nutritional supplement of Iron, other essential minerals, vitamins, with vitalizing herbs which contributes to the reduction of tiredness & fatigue plus normal energy release & vitality."
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Apple With Goodness Of Nata De Coco - Naturally Twisted, 200 ml","Alpha 8 Apple + Nata De Coco is a zero fat, delicious, and chunky beverage you and your family can enjoy! The Alpha 8 Apple + Nata De Coco contains the refreshing and delicious taste of apple. It contains a translucent jelly-like substance made from coconuts, Nata De Coco. There are little cubes of Nata De Coco that you can chew on while drinking the juice. This provides a variation in texture that makes the drink more enjoyable. Nata De Coco can help prevent diseases like obesity, appendicitis, colon cancer, and diabetes. The Alpha 8 Apple + Nata De Coco consists of ingredients like water, sugar, apple juice concentrate, and Nata de coco. You can enjoy this chilled drink on a sizzling summer afternoon or offer it to visitors and guests. Explore a range of Alpha 8 products like Apple + Nata de coco, Strawberry + Nata de coco, and Kiwi + Nata de coco only on Big Basket.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",India,['8908003457352'],['11522018000009'],https://datalabs.siva3.io/image/Eunimart_groceries_40260992_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-2_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-3_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-4_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-5_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-6_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-7_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260992-8_1-alpha-8-apple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shake well before use.,"[{'EAN Code': '8908003457352'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11522018000009'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.'}]","Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",-,-,-,"Water, Sugar, Apple Juice Concentrate (Equivalent to 10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors and Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Guava Juice - Nata De Coco, Natural, Healthy Drink, 200 ml","Alpha 8 guava juice is delicious to drink and chew, full of natural taste. Enjoy it every time you sip. This beverage provides nutrition and taste anywhere you go. It obtains a good amount of fibre. Discover a fun way to boost your immunity by drinking citrusy goodness each morning.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.",India,['40235166'],['11517021000469'],https://datalabs.siva3.io/image/Eunimart_groceries_40235166_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235166-2_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235166-3_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235166-4_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235166-5_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235166-6_1-alpha-8-guava-juice-nata-de-coco-natural-healthy-drink.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Open the seal and enjoy the goodness,"[{'EAN Code': '40235166'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11517021000469'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.'}, {'","Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.",-,-,-,"Water, Sugar, Guava Pulp (10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors And Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Kiwi With Goodness Of Nata De Coco - Naturally Twisted, 200 ml","Alpha 8 Kiwi + Nata De Coco is the best way to make a delicious and cool mocktail for the summer! The Alpha 8 Kiwi + Nata De Coco is a drink containing zero fat. It contains the uniquely sweet and sour-ish flavours of kiwi and enjoy it longer with the help of nata de coco. Nata de coco is a jelly-like substance made from coconuts. It helps in preventing diseases like diabetes, appendicitis, digestive problems, and coronary heart diseases. The nata de coco cubes add a chewy texture to the juice that you can enjoy between sips. The Alpha 8 Kiwi + Nata De Coco is made with the best quality ingredients. It contains ingredients like kiwi pulp, nata de coco, water, and sugar. You can enjoy this chilled drink on a sizzling summer evening or share it with friends and family at a gathering. Explore a range of Alpha 8 products like Apple + Nata de coco, Strawberry + Nata de coco, and Kiwi + Nata de coco only on Big Basket.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",India,['8908003457345'],['11522018000009'],https://datalabs.siva3.io/image/Eunimart_groceries_40260995_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-2_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-3_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-4_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-5_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-6_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-7_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260995-8_1-alpha-8-kiwi-with-goodness-of-nata-de-coco-naturally-twisted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shake well before use.,"[{'EAN Code': '8908003457345'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11522018000009'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.'}]","Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",-,-,-,"Water, Sugar, Kiwi Pulp (10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors and Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Litchi Juice - Nata De Coco, Natural, Healthy Drink, 200 ml","Alpha 8 Litchi juice is delicious to drink and chew, full of natural taste. Enjoy it every time you sip. This beverage provides nutrition and taste anywhere you go. It obtains a good amount of fibre. Discover a fun way to boost your immunity by drinking citrusy goodness each morning.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.",India,['40235167'],['11517021000469'],https://datalabs.siva3.io/image/Eunimart_groceries_40235167_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235167-2_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235167-3_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235167-4_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235167-5_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40235167-6_1-alpha-8-litchi-juice-nata-de-coco-natural-healthy-drink.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Open the seal and enjoy the goodness,"[{'EAN Code': '40235167'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11517021000469'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.'}, {'","Habhit Wellness Pvt Ltd, A-149, MIDC, Dombivali.",-,-,-,"Water, Sugar, Litchi Pulp (10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors And Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Orange With Goodness Of Nata De Coco - Naturally Twisted, 200 ml","Alpha 8 Orange + Nata De Coco is the perfect healthy and tasty way to enjoy fruit juices! The Alpha 8 Orange + Nata De Coco is made with the best quality ingredients. It has the refreshing flavour and aroma of orange, paired with nutritious Nata De Coco. This juice contains zero fat. Nata De Coco is a translucent jelly-like substance derived from coconuts. With this, you can enjoy drinking and chew on this juice. Nata de coco comes with many health benefits. It helps in preventing appendicitis, diabetes, colon cancer, and obesity. The Alpha 8 Orange + Nata De Coco is made with ingredients like water, sugar, orange juice concentrate, and Nata de coco. You can enjoy this drink any time of the day in summer or open a bottle to serve guests in your house. Explore a range of Alpha 8 products like Apple + Nata de coco, Strawberry + Nata de coco, and Kiwi + Nata de coco only on Big Basket.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",India,['8908003457369'],['11522018000009'],https://datalabs.siva3.io/image/Eunimart_groceries_40260991_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-2_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-3_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-4_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-5_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-6_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-7_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260991-8_1-alpha-8-orange-with-goodness-of-nata-de-coco-naturally-twisted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Shake well before use
Tastes best when served chilled","[{'EAN Code': '8908003457369'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11522018000009'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.'}]","Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",-,-,-,"Water, Sugar, Orange Juice Concentrate (Equivalent to 10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors and Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Pineapple With Goodness Of Nata De Coco - Naturally Twisted, 200 ml","Alpha 8 Pineapple + Nata De Coco is the perfect chilled drink to relieve you from the summer heat! The Alpha 8 Pineapple + Nata De Coco contains zero fat. It is ready to serve beverage that tastes its best when it's served chilled. This contains the sweet flavour of pineapple with a twist in texture. Nata de coco cubes are translucent jelly-like substances made from coconuts. You can chew on the cubes of jelly in-between sips to savour the sweet flavour for longer. Nata de coco is rich in fibre and helps in preventing diseases like diabetes, colon cancer, and appendicitis. This juice is made from the best quality ingredients like pineapple pulp, Nata de coco, water, and sugar. You can share the Alpha 8 Pineapple + Nata De Coco with your friends and family. Or enjoy it on a sizzling summer day. Explore a range of Alpha 8 products like Apple + Nata de coco, Strawberry + Nata de coco, and Kiwi + Nata de coco only on Big Basket.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",India,['40260993'],['11522018000009'],https://datalabs.siva3.io/image/Eunimart_groceries_40260993_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-2_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-3_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-4_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-5_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-6_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-7_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260993-8_1-alpha-8-pineapple-with-goodness-of-nata-de-coco-naturally-twisted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shake well before use,"[{'EAN Code': '40260993'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11522018000009'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.'}]","Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",-,-,-,"Water, Sugar, Pineapple Pulp (10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors and Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,ALPHA 8,"ALPHA 8 Strawberry With Goodness Of Nata De Coco - Naturally Twisted, 200 ml","Alpha 8 Strawberry + Nata De Coco gives you a unique tasting juice with chewy cubes between sips! The Alpha 8 Strawberry + Nata De Coco is ready to serve drink. It is made from the best quality ingredients like strawberry pulp, Nata de coco, sugar, and water. Nata de coco is a chewy cube that slips into your mouth with juice. It is a jelly-like substance that is made from coconuts. Nata de coco lets you enjoy and savour the flavours of the juice. It contains an elevated level of fiber that can help prevent diseases like colon cancer, appendicitis, diabetes, and obesity. The Alpha 8 Strawberry + Nata De Coco tastes the best when it is served chilled. You can use this in your mocktails at parties or share it with your friends and family. Explore a range of Alpha 8 products like Apple + Nata de coco, Strawberry + Nata de coco, and Kiwi + Nata de coco only on Big Basket.",200 ml,ml,200 ml,1,1,30,30,"Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",India,['40260994'],['11522018000009'],https://datalabs.siva3.io/image/Eunimart_groceries_40260994_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-2_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-3_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-4_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-5_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-6_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-7_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40260994-8_1-alpha-8-strawberry-with-goodness-of-nata-de-coco-naturally-twisted.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shake well before use.,"[{'EAN Code': '40260994'}, {'Country Of Origin': 'India'}, {'FSSAI No': '11522018000009'}, {'Manufactured & Marketed By': 'Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.'}]","Habhit Wellness Pvt Ltd, A-1, Bldg No C, Ravaria Ind Complex, Thane.",-,-,-,"Water, Sugar, Strawberry Pulp (10%), Nata De Coco (10%), Acidity Regulator (E330, E296, E331), Emulsifying & Stabilizing Agent (E440), Contains Permitted Class-II Preservative (E202), Contains Permitted Food Colors and Nature Identical Flavour",-,-,-
RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-12,Alo Frut,"Alo Frut Anaar Juice With Aloe Vera, 300 ml","Extracted from the finest quality of pomegranates. Perfect thirst quencher, full of awesomeness, amalgamated with nutrients of Aloe vera, made for curious tongues. Try out AloFrut Anaar Juice to make different mocktails, cocktails, slush, fruit punch, and salads, etc. Extracted from the finest of fruit Pulp. Perfect thirst quencher, full of awesomeness, amalgamated with nutriments of aloevera, made for curious tongues.",300 ml,ml,300 ml,1,1,40,40,"Rampur Sarsehri Road, Ambala Cantt, Haryana, 133006. India",India,['40134867'],['10013031000874'],https://datalabs.siva3.io/image/Eunimart_groceries_40134867_4-alo-frut-anaar-juice-with-aloe-vera.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40134867-2_5-alo-frut-anaar-juice-with-aloe-vera.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40134867-3_4-alo-frut-anaar-juice-with-aloe-vera.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40134867-4_4-alo-frut-anaar-juice-with-aloe-vera.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40134867-5_4-alo-frut-anaar-juice-with-aloe-vera.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '40134867'}, {'Country Of Origin': 'India'}, {'Fssai No': '10013031000874'}, {'Manufactured & Marketed By': 'Rampur Sarsehri Road, Ambala Cantt, Haryana, 133006. India'}, {'","Rampur Sarsehri Road, Ambala Cantt, Haryana, 133006. India",-,-,-,"Water, Pomegranate Juice (16%), Sugar(12. 5%), Aloevera Juice & Pulp (12%), Lemon Juice (1%), Iodized Salt, Acidity Regulator (E330), Stabilizer(E440), Class Ii Preservative (E211), (E202).",-,-,-
